"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
2;"REF**";"Logo-Back-SolderedFULL-20mm";1;"Logo-Front-SolderedFULL-20mm";;;
3;",,,,,,,,,,";"buzzardLabel";11;"";;;
4;"REF**";"Logo-Front-SolderedFULL-20mm";1;"Logo-Front-SolderedFULL-20mm";;;
5;"G***";"Symbol-Front-Ethernet";1;"LOGO";;;
6;"Ref**";"Version1.0.0.";1;"Val**";;;
7;"U2";"SOT-23-5";1;"SE5218";;;
8;"X1";"CRYSTAL_3225__4_PAD";1;"TSX-3225 25.0000MF10P-C3";;;
9;"U5,U4,U3";"SOT-363";3;"NMOS-DUAL";;;
10;"U1";"WIZnet W5500";1;"WIZnet_W5500";;;
11;"R28,R27,R26,R25,R24,R23,R22,R21,R20,R19,R18,R17";"0603R";12;"10k";;;
12;"R16,R15";"0603R";2;"0R";;;
13;"R14";"0603R";1;"1M";;;
14;"R13";"0402R";1;"2k2";;;
15;"R12,R11";"0603R";2;"330R";;;
16;"R10";"0603R";1;"10R 1%";;;
17;"R9,R8,R7,R6";"0603R";4;"49R9 1%";;;
18;"R5";"0603R";1;"12k4_1%";;;
19;"R4,R3,R2,R1";"0603R";4;"33R";;;
20;"L1";"0603L";1;"MMZ1608S601ATA00";;;
21;"K2";"HEADER_MALE_8X1";1;"HEADER_MALE_8X1";;;
22;"K1";"HR913550A";1;"HR_913550A";;;
23;"JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
24;"H4,H3,H2,H1";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
25;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
26;"D1";"0402LED";1;"purple";;;
27;"C19,C18";"0603C";2;"2.2uF";;;
28;"C17,C16";"0603C";2;"18pF";;;
29;"C15,C1";"ELECTROLITIC_CAP_4mm";2;"EDK106M016A9BAA";;;
30;"C14,C8,C6,C5,C4,C3,C2";"0603C";7;"100n";;;
31;"C13,C7";"0603C";2;"10n";;;
32;"C12";"0603C";1;"4u7";;;
33;"C11";"0603C";1;"22n";;;
34;"C10,C9";"0603C";2;"6n8";;;
